날짜,전체 산업,농업 임업 및 어업(01~03),광업(05~08),제조업(10~34),전기 가스 증기 및 공기조절 공급업(35),수도 하수 및 폐기물 처리 원료 재생업(36~39),건설업(41~42),도매 및 소매업(45~47),운수 및 창고업(49~52),숙박 및 음식점업(55~56),정보통신업(58~63),금융 및 보험업(64~66),부동산업(68),전문 과학 및 기술 서비스업(70~73),사업시설 관리 사업 지원 및 임대 서비스업(74~76),공공행정 국방 및 사회보장 행정(84),교육 서비스업(85),보건업 및 사회복지 서비스업(86~87),예술 스포츠 및 여가관련 서비스업(90~91),협회 및 단체 수리 및 기타 개인 서비스업(94~96)
2008-02-01,16332369.333333334,28816.25,17161.333333333332,3249135.3333333335,52687.666666666664,80848.0,886589.8333333334,2559374.0833333335,933552.4166666666,1724757.5833333333,427844.1666666667,673876.0833333334,404477.5,694918.4166666666,719298.4166666666,581041.1666666666,1321156.25,898603.25,313100.4166666667,765131.1666666666
2008-03-01,16376512.666666666,28945.5,17107.666666666668,3250389.6666666665,52600.333333333336,81032.0,888063.6666666666,2564735.1666666665,937420.8333333334,1727525.1666666667,428306.3333333333,675530.1666666666,405103.0,698293.8333333334,721679.8333333334,588008.3333333334,1325027.5,906113.5,313842.8333333333,766787.3333333334
2008-04-01,16420656.0,29074.75,17054.0,3251644.0,52513.0,81216.0,889537.5,2570096.25,941289.25,1730292.75,428768.5,677184.25,405728.5,701669.25,724061.25,594975.5,1328898.75,913623.75,314585.25,768443.5
2008-05-01,16464799.333333334,29204.0,17000.333333333332,3252898.3333333335,52425.666666666664,81400.0,891011.3333333334,2575457.3333333335,945157.6666666666,1733060.3333333333,429230.6666666667,678838.3333333334,406354.0,705044.6666666666,726442.6666666666,601942.6666666666,1332770.0,921134.0,315327.6666666667,770099.6666666666
2008-06-01,16508942.666666666,29333.25,16946.666666666668,3254152.6666666665,52338.333333333336,81584.0,892485.1666666666,2580818.4166666665,949026.0833333334,1735827.9166666667,429692.8333333333,680492.4166666666,406979.5,708420.0833333334,728824.0833333334,608909.8333333334,1336641.25,928644.25,316070.0833333333,771755.8333333334
2008-07-01,16553086.0,29462.5,16893.0,3255407.0,52251.0,81768.0,893959.0,2586179.5,952894.5,1738595.5,430155.0,682146.5,407605.0,711795.5,731205.5,615877.0,1340512.5,936154.5,316812.5,773412.0
2008-08-01,16597229.333333334,29591.75,16839.333333333332,3256661.3333333335,52163.666666666664,81952.0,895432.8333333334,2591540.5833333335,956762.9166666666,1741363.0833333333,430617.1666666667,683800.5833333334,408230.5,715170.9166666666,733586.9166666666,622844.1666666666,1344383.75,943664.75,317554.9166666667,775068.1666666666
2008-09-01,16641372.666666666,29721.0,16785.666666666668,3257915.6666666665,52076.333333333336,82136.0,896906.6666666666,2596901.6666666665,960631.3333333334,1744130.6666666667,431079.3333333333,685454.6666666666,408856.0,718546.3333333334,735968.3333333334,629811.3333333334,1348255.0,951175.0,318297.3333333333,776724.3333333334
2008-10-01,16685516.0,29850.25,16732.0,3259170.0,51989.0,82320.0,898380.5,2602262.75,964499.75,1746898.25,431541.5,687108.75,409481.5,721921.75,738349.75,636778.5,1352126.25,958685.25,319039.75,778380.5
2008-11-01,16729659.333333334,29979.5,16678.333333333332,3260424.3333333335,51901.666666666664,82504.0,899854.3333333334,2607623.8333333335,968368.1666666666,1749665.8333333333,432003.6666666667,688762.8333333334,410107.0,725297.1666666666,740731.1666666666,643745.6666666666,1355997.5,966195.5,319782.1666666667,780036.6666666666
2008-12-01,16773802.666666666,30108.75,16624.666666666668,3261678.6666666665,51814.333333333336,82688.0,901328.1666666666,2612984.9166666665,972236.5833333334,1752433.4166666667,432465.8333333333,690416.9166666666,410732.5,728672.5833333334,743112.5833333334,650712.8333333334,1359868.75,973705.75,320524.5833333333,781692.8333333334
2009-01-01,16817946.0,30238.0,16571.0,3262933.0,51727.0,82872.0,902802.0,2618346.0,976105.0,1755201.0,432928.0,692071.0,411358.0,732048.0,745494.0,657680.0,1363740.0,981216.0,321267.0,783349.0
2009-02-01,16887031.583333332,30170.916666666668,16521.833333333332,3276225.1666666665,51713.25,82977.0,925637.3333333334,2618332.5833333335,977244.0,1755677.3333333333,435530.5,693962.5,411866.25,735134.5833333334,752572.9166666666,658114.5,1369336.1666666667,990934.5,321157.5833333333,783922.6666666666
2009-03-01,16956117.166666668,30103.833333333332,16472.666666666668,3289517.3333333335,51699.5,83082.0,948472.6666666666,2618319.1666666665,978383.0,1756153.6666666667,438133.0,695854.0,412374.5,738221.1666666666,759651.8333333334,658549.0,1374932.3333333333,1000653.0,321048.1666666667,784496.3333333334
2009-04-01,17025202.75,30036.75,16423.5,3302809.5,51685.75,83187.0,971308.0,2618305.75,979522.0,1756630.0,440735.5,697745.5,412882.75,741307.75,766730.75,658983.5,1380528.5,1010371.5,320938.75,785070.0
2009-05-01,17094288.333333332,29969.666666666668,16374.333333333334,3316101.6666666665,51672.0,83292.0,994143.3333333334,2618292.3333333335,980661.0,1757106.3333333333,443338.0,699637.0,413391.0,744394.3333333334,773809.6666666666,659418.0,1386124.6666666667,1020090.0,320829.3333333333,785643.6666666666
