,전체,중졸이하,고졸,전문대졸,대졸,대학원졸
2007-11-01,12791.5,7856.666666666667,9898.333333333334,11768.166666666666,17825.5,27314.0
2007-12-01,12855.75,7895.833333333333,9946.666666666666,11861.083333333334,17899.25,27396.0
2008-01-01,12920.0,7935.0,9995.0,11954.0,17973.0,27478.0
2008-02-01,12875.166666666666,7920.166666666667,9975.833333333334,11901.833333333334,17857.833333333332,27274.166666666668
2008-03-01,12830.333333333334,7905.333333333333,9956.666666666666,11849.666666666666,17742.666666666668,27070.333333333332
2008-04-01,12785.5,7890.5,9937.5,11797.5,17627.5,26866.5
2008-05-01,12740.666666666666,7875.666666666667,9918.333333333334,11745.333333333334,17512.333333333332,26662.666666666668
2008-06-01,12695.833333333334,7860.833333333333,9899.166666666666,11693.166666666666,17397.166666666668,26458.833333333332
2008-07-01,12651.0,7846.0,9880.0,11641.0,17282.0,26255.0
2008-08-01,12606.166666666666,7831.166666666667,9860.833333333334,11588.833333333334,17166.833333333332,26051.166666666668
2008-09-01,12561.333333333334,7816.333333333333,9841.666666666666,11536.666666666666,17051.666666666668,25847.333333333332
2008-10-01,12516.5,7801.5,9822.5,11484.5,16936.5,25643.5
2008-11-01,12471.666666666666,7786.666666666667,9803.333333333334,11432.333333333334,16821.333333333332,25439.666666666668
2008-12-01,12426.833333333334,7771.833333333333,9784.166666666666,11380.166666666666,16706.166666666668,25235.833333333332
2009-01-01,12382.0,7757.0,9765.0,11328.0,16591.0,25032.0
2009-02-01,12423.333333333334,7777.666666666667,9779.916666666666,11349.583333333334,16639.25,25151.333333333332
2009-03-01,12464.666666666666,7798.333333333333,9794.833333333334,11371.166666666666,16687.5,25270.666666666668
2009-04-01,12506.0,7819.0,9809.75,11392.75,16735.75,25390.0
2009-05-01,12547.333333333334,7839.666666666667,9824.666666666666,11414.333333333334,16784.0,25509.333333333332
2009-06-01,12588.666666666666,7860.333333333333,9839.583333333334,11435.916666666666,16832.25,25628.666666666668
2009-07-01,12630.0,7881.0,9854.5,11457.5,16880.5,25748.0
2009-08-01,12671.333333333334,7901.666666666667,9869.416666666666,11479.083333333334,16928.75,25867.333333333332
2009-09-01,12712.666666666666,7922.333333333333,9884.333333333334,11500.666666666666,16977.0,25986.666666666668
2009-10-01,12754.0,7943.0,9899.25,11522.25,17025.25,26106.0
2009-11-01,12795.333333333334,7963.666666666667,9914.166666666666,11543.833333333334,17073.5,26225.333333333332
2009-12-01,12836.666666666666,7984.333333333333,9929.083333333334,11565.416666666666,17121.75,26344.666666666668
2010-01-01,12878.0,8005.0,9944.0,11587.0,17170.0,26464.0
2010-02-01,12952.25,8076.416666666667,10009.166666666666,11683.333333333334,17267.416666666668,26606.083333333332
2010-03-01,13026.5,8147.833333333333,10074.333333333334,11779.666666666666,17364.833333333332,26748.166666666668
2010-04-01,13100.75,8219.25,10139.5,11876.0,17462.25,26890.25
2010-05-01,13175.0,8290.666666666666,10204.666666666666,11972.333333333334,17559.666666666668,27032.333333333332
2010-06-01,13249.25,8362.083333333334,10269.833333333334,12068.666666666666,17657.083333333332,27174.416666666668
2010-07-01,13323.5,8433.5,10335.0,12165.0,17754.5,27316.5
2010-08-01,13397.75,8504.916666666666,10400.166666666666,12261.333333333334,17851.916666666668,27458.583333333332
2010-09-01,13472.0,8576.333333333334,10465.333333333334,12357.666666666666,17949.333333333332,27600.666666666668
2010-10-01,13546.25,8647.75,10530.5,12454.0,18046.75,27742.75
2010-11-01,13620.5,8719.166666666666,10595.666666666666,12550.333333333334,18144.166666666668,27884.833333333332
2010-12-01,13694.75,8790.583333333334,10660.833333333334,12646.666666666666,18241.583333333332,28026.916666666668
2011-01-01,13769.0,8862.0,10726.0,12743.0,18339.0,28169.0
2011-02-01,13868.833333333334,8929.583333333334,10799.75,12817.083333333334,18462.333333333332,28306.333333333332
2011-03-01,13968.666666666666,8997.166666666666,10873.5,12891.166666666666,18585.666666666668,28443.666666666668
2011-04-01,14068.5,9064.75,10947.25,12965.25,18709.0,28581.0
2011-05-01,14168.333333333334,9132.333333333334,11021.0,13039.333333333334,18832.333333333332,28718.333333333332
2011-06-01,14268.166666666666,9199.916666666666,11094.75,13113.416666666666,18955.666666666668,28855.666666666668
2011-07-01,14368.0,9267.5,11168.5,13187.5,19079.0,28993.0
2011-08-01,14467.833333333334,9335.083333333334,11242.25,13261.583333333334,19202.333333333332,29130.333333333332
2011-09-01,14567.666666666666,9402.666666666666,11316.0,13335.666666666666,19325.666666666668,29267.666666666668
2011-10-01,14667.5,9470.25,11389.75,13409.75,19449.0,29405.0
2011-11-01,14767.333333333334,9537.833333333334,11463.5,13483.833333333334,19572.333333333332,29542.333333333332
2011-12-01,14867.166666666666,9605.416666666666,11537.25,13557.916666666666,19695.666666666668,29679.666666666668
2012-01-01,14967.0,9673.0,11611.0,13632.0,19819.0,29817.0
2012-02-01,15058.666666666666,9730.333333333334,11685.5,13712.833333333334,19925.083333333332,30062.0
2012-03-01,15150.333333333334,9787.666666666666,11760.0,13793.666666666666,20031.166666666668,30307.0
2012-04-01,15242.0,9845.0,11834.5,13874.5,20137.25,30552.0
2012-05-01,15333.666666666666,9902.333333333334,11909.0,13955.333333333334,20243.333333333332,30797.0
2012-06-01,15425.333333333334,9959.666666666666,11983.5,14036.166666666666,20349.416666666668,31042.0
2012-07-01,15517.0,10017.0,12058.0,14117.0,20455.5,31287.0
2012-08-01,15608.666666666666,10074.333333333334,12132.5,14197.833333333334,20561.583333333332,31532.0
2012-09-01,15700.333333333334,10131.666666666666,12207.0,14278.666666666666,20667.666666666668,31777.0
2012-10-01,15792.0,10189.0,12281.5,14359.5,20773.75,32022.0
2012-11-01,15883.666666666666,10246.333333333334,12356.0,14440.333333333334,20879.833333333332,32267.0
2012-12-01,15975.333333333334,10303.666666666666,12430.5,14521.166666666666,20985.916666666668,32512.0
2013-01-01,16067.0,10361.0,12505.0,14602.0,21092.0,32757.0
2013-02-01,16119.833333333334,10345.25,12534.5,14689.5,21133.833333333332,32793.333333333336
2013-03-01,16172.666666666666,10329.5,12564.0,14777.0,21175.666666666668,32829.666666666664
2013-04-01,16225.5,10313.75,12593.5,14864.5,21217.5,32866.0
2013-05-01,16278.333333333334,10298.0,12623.0,14952.0,21259.333333333332,32902.333333333336
2013-06-01,16331.166666666666,10282.25,12652.5,15039.5,21301.166666666668,32938.666666666664
2013-07-01,16384.0,10266.5,12682.0,15127.0,21343.0,32975.0
2013-08-01,16436.833333333332,10250.75,12711.5,15214.5,21384.833333333332,33011.333333333336
2013-09-01,16489.666666666668,10235.0,12741.0,15302.0,21426.666666666668,33047.666666666664
2013-10-01,16542.5,10219.25,12770.5,15389.5,21468.5,33084.0
2013-11-01,16595.333333333332,10203.5,12800.0,15477.0,21510.333333333332,33120.333333333336
2013-12-01,16648.166666666668,10187.75,12829.5,15564.5,21552.166666666668,33156.666666666664
