,전체 산업,"농업, 임업 및 어업(01~03)",광업(05~08),제조업(10~34),"전기, 가스, 증기 및 공기조절 공급업(35)","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",건설업(41~42),도매 및 소매업(45~47),운수 및 창고업(49~52),숙박 및 음식점업(55~56),정보통신업(58~63),금융 및 보험업(64~66),부동산업(68),"전문, 과학 및 기술 서비스업(70~73)","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",교육 서비스업(85),"예술, 스포츠 및 여가관련 서비스업(90~91)"
2011-10-01,1857442373.6034467,4325369.798773844,527904.7392113004,735390872.7833403,58901754.1557658,6991660.577834432,231886713.33596325,82750915.85500184,132042397.00657211,2706402.2904954115,42975027.69614629,72309650.94502415,4133974.444180926,37641220.72825585,25393964.345678926,24414730.23757725,9161324.350025507
2011-11-01,1858558387.7286298,4373411.470641584,527307.1441518806,735660256.1876861,58764026.78151663,7016140.359164689,232338774.64921278,82147475.12145692,131912079.8179864,2777989.401302825,43497624.449466765,71272697.64528714,4174337.1482683155,37448021.72319938,25506855.200054638,24903634.495409016,9291270.192421207
2011-12-01,1858667383.259398,4407033.22733732,526713.6944291086,736051161.4953303,58546939.35941637,7036242.723173672,232453783.79509717,81593956.39179371,131566211.2454161,2844041.8406117875,43926538.12646925,70234974.06108093,4217464.972577173,37205530.384122156,25579979.92146934,25377256.31471916,9405339.232123464
2012-01-01,1857697106.157,4426464.0,526314.6,736726765.69373,58238674.941599995,7053907.92111,232086015.44474,81071471.34168,130957547.97715,2907194.7461759998,44269503.73522,69144548.38878,4265617.312981,36896070.7704,25612051.245974,25862269.105335,9508210.816
2012-02-01,1855580712.79888,4428820.241381368,526288.8651990584,737781595.7380708,57851451.11581697,7069024.581788849,231104668.5796317,80613311.57807246,130081902.15389562,2963705.6085093725,44495492.10845665,68052812.64678204,4316558.988880013,36528369.51278087,25595357.174069356,26336824.05829017,9594295.612565853
2012-03-01,1852646853.4919984,4416088.560321678,526468.724172909,739076583.7950538,57436276.1552031,7081403.680978419,229654341.838654,80240472.25154291,129056292.82498549,3010448.3034442584,44608969.78685381,67044109.62972144,4365162.403144967,36144152.214516014,25537488.060890965,26762390.74114311,9663282.010291189
2012-04-01,1848614426.9711294,4387587.118287712,526660.349891644,740717732.492526,56959253.314300664,7093334.900510381,227595499.6194773,79894743.91191708,127789497.00872093,3054082.5888565383,44640023.325325735,65993622.2963949,4416222.750459258,35706814.59889641,25434135.09241079,27187174.54083667,9729975.818398004
2012-05-01,1843950541.9286063,4346398.866645379,526632.4221349434,742487989.1986502,56487678.10346835,7104167.159481307,225161659.51211646,79605539.5549141,126444746.89333646,3090286.1677239146,44595326.18360146,65018283.7408141,4462898.097195006,35273341.092287846,25296866.624190446,27558398.569256827,9792729.570406167
2012-06-01,1838471281.6945992,4290882.0833692085,526158.3573414324,744430733.0568116,56014131.50073172,7115221.036682605,222252759.48739517,79346606.71376921,124984031.47827564,3121691.0170415225,44486734.85205922,64067784.29841242,4506338.2719555665,34831680.98577185,25120306.813339084,27890025.503310855,9861164.573561627
2012-07-01,1832651722.8652341,4225675.425118446,525053.631545883,746349180.5715765,55592156.7505805,7126356.207977799,219116004.0209222,79127976.80555007,123551020.51313584,3146480.0798557885,44335456.87050622,63217530.04571527,4541862.744174784,34426455.31807706,24919460.503938273,28150335.840515696,9936070.78064674
