,공공기관 및 기업 고위직(11),행정?경영 지원 및 마케팅 관리직(12),전문 서비스 관리직(13),건설·전기 및 생산 관련 관리직(14),판매 및 고객 서비스 관리직(15),과학 전문가 및 관련직(21),정보 통신 전문가 및 기술직(22),공학 전문가 및 기술직(23),보건·사회복지 및 종교 관련직(24),교육 전문가 및 관련직(25),법률 및 행정 전문직(26),경영·금융전문가 및 관련직(27),문화·예술·스포츠 전문가 및 관련직(28),경영 및 회계 관련 사무직(31),금융 사무직(32),법률 및 감사 사무직(33),상담·안내·통계 및 기타 사무직(39),경찰·소방 및 보안 관련 서비스직(41),돌봄·보건 및 개인 생활 서비스직(42),운송 및 여가 서비스직(43),조리 및 음식 서비스직(44),영업직(51),매장 판매 및 상품 대여직(52),통신 및 방문·노점 판매 관련직(53),농축산 숙련직(61),임업 숙련직(62),어업 숙련직(63),식품가공 관련 기능직(71),섬유·의복 및 가죽 관련 기능직(72),목재가구악기 및 간판 관련 기능직(73),금속 성형 관련 기능직(74),운송 및 기계 관련 기능직(75),전기 및 전자 관련 기능직(76),정보 통신 및 방송장비 관련 기능직(77),건설 및 채굴 관련 기능직(78),기타 기능 관련직(79),식품가공 관련 기계 조작직(81),섬유 및 신발 관련 기계 조작직(82),화학 관련 기계 조작직(83),금속 및 비금속 관련 기계 조작직(84),기계 제조 및 관련 기계 조작직(85),전기 및 전자 관련 기계 조작직(86),운전 및 운송 관련직(87),상하수도 및 재활용 처리 관련 기계 조작직(88),목재인쇄 및 기타 기계 조작직(89),건설 및 광업 관련 단순 노무직(91),운송 관련 단순 노무직(92),제조 관련 단순 노무직(93),청소 및 경비 관련 단순 노무직(94),가사·음식 및 판매 관련 단순 노무직(95),농림어업 및 기타 서비스 단순 노무직(99)
2003-11-01,1043.8655373512022,4616.851723949137,2194.1579796243946,1897.192505606936,687.0767410687273,3066.247323248122,2101.9331662799777,1858.240614389737,1685.5540197552446,1918.954317804991,4215.969464762067,2510.936314236694,2132.0405598177927,1738.1599147863742,2352.0719343964447,2786.7468826979625,1251.9077136071194,1623.1641518292024,1474.275776380364,2205.5145148426686,1488.3704247384644,1825.8318084214986,2344.9954960621585,1870.2735784124663,1559.5766504012404,1649.3543935553712,1862.4992997700438,1354.0723396763967,1071.4031670973475,1923.1720731112937,1549.2924433511225,1618.3053680474075,2249.477207726875,2381.407154211529,1884.1434584426497,1899.626768086554,334.063911734989,1220.2550014533272,1768.4041025204895,1623.6347563020745,1900.461117593712,1181.7506980195158,1453.6325782339175,1795.2039506594695,1678.6211174620796,2115.766333119625,1899.9548483507742,1403.9693726688085,1049.7554959081845,984.5716257156994,1056.4860689224636
2003-12-01,1128.4818482926296,4614.8264277856915,2223.554624120648,1918.0395616642472,725.4819844339004,3070.7976218488548,2114.81512997378,1871.7904684709122,1692.7744965476006,1940.7186555144144,4237.208685049959,2520.256763147566,2137.1725668865574,1748.664752445743,2359.180525478431,2784.492700348842,1258.5060721647778,1630.5330012801464,1475.2435046604771,2205.6672495092535,1490.2150484453498,1838.1381370021904,2332.582938808668,1871.98728964701,1565.4488615678804,1645.2067967408243,1860.0453990454016,1356.9368122652659,1076.819784220253,1916.7536788537686,1557.8056711769736,1628.3317076480707,2248.4514997816104,2382.6983896798333,1883.6477856513725,1901.853677483777,355.9171380146551,1225.1111336376784,1771.7539840293564,1630.0223989311412,1902.6837281234796,1193.8722499260316,1458.3228953605915,1802.159646493051,1681.7199174884738,2108.25820630695,1896.9060939524663,1401.8744868817735,1054.6417407046993,988.8455831116116,1061.923537890097
2004-01-01,1217.7024934249548,4615.762123635982,2261.975762685279,1939.1153755760656,766.0663573435337,3076.4358185295196,2126.076359366745,1885.6648943262833,1699.953805407384,1964.5895194558416,4246.779907960085,2529.835331757564,2144.212880101785,1759.3607423590495,2366.0151999595646,2782.0242506505356,1261.2661027067165,1636.5207290363915,1472.9527218311518,2206.5161711962387,1492.1322121374376,1851.2791229112293,2318.1146483474604,1876.031591251194,1567.6121097830628,1640.721770916119,1858.2448220773144,1361.1899108230998,1081.9695463202645,1910.6871662806273,1565.9879271738873,1640.6271417564549,2246.366593099672,2393.1318855426953,1883.1673355525793,1906.514841149784,378.5207496813356,1228.3355634795778,1772.9674808963287,1635.3948465409467,1904.3315417506135,1206.511031755794,1463.1665979181978,1807.6476115470675,1685.8702867099628,2096.3185646144843,1894.1528716091086,1397.4637291185638,1058.0603119248376,992.8412810153494,1069.0105548557187
2004-02-01,1301.3519351136938,4635.7008167331,2291.8834330070067,1961.8186094250614,806.1095074779836,3084.104647080221,2135.531946135756,1899.3944545921686,1704.638933047483,1981.3387389018212,4259.245562391464,2541.7514673632254,2147.4807843566186,1769.827313917756,2370.619775460216,2780.6354935457807,1267.407875049518,1642.6557820382175,1471.2577661198527,2201.174168464744,1495.5702834638705,1863.1536578622174,2304.414315673558,1876.7526526805348,1572.119884198339,1636.594701948733,1857.5073665975483,1364.5847326439462,1087.9525921507388,1905.9952225602854,1574.9853368753043,1656.379087119918,2240.62831255145,2393.99347429981,1883.9806976413552,1903.307404079854,401.34799029750485,1233.6041360578474,1772.8315823241983,1641.263813096814,1906.6585989548098,1218.678600019675,1468.5881361370643,1813.3833224017142,1687.2128817122748,2087.7355210246537,1895.9242934625552,1397.7913239782092,1060.186242918394,997.2543460161639,1074.8797585402099
2004-03-01,1385.5329525697182,4641.0694826991175,2327.5345404829113,1981.886563063997,844.7416777303885,3089.6885713772126,2150.176876728121,1914.5514655152995,1711.846989922258,2001.0711470843632,4274.451234806153,2551.882003795313,2152.990799144349,1780.6993104262933,2376.3923418344216,2777.0727671924274,1274.3264326636988,1649.4876238038382,1472.5542515344484,2199.7182700595613,1495.5905876833785,1875.459671632198,2291.1834793201515,1877.9336563178056,1578.162173311728,1634.990437902942,1858.8412749388146,1367.9098208511423,1094.2003421057,1899.968032404108,1583.9441915113398,1667.64160646093,2238.5675348749137,2396.0386070301697,1886.1232446161557,1904.3864873655793,421.9906909154362,1240.708668932293,1775.3555410377053,1648.7158475273557,1908.8315941706767,1231.0656027087439,1473.6858547857123,1821.0088166846906,1691.5542955724263,2078.872817120531,1890.2650540873033,1396.3866207311826,1064.1088994422123,1001.6437717426942,1080.4963814927319
2004-04-01,1473.7437053820695,4654.107678481755,2362.224694497144,2005.841735849215,885.0808074807862,3095.6213499623227,2166.31480879394,1926.4559644822853,1717.9397386068322,2018.8454944860787,4295.877126059632,2563.5441011238677,2157.4507507713292,1791.20323890114,2380.507318574078,2774.3363964424425,1281.305734522641,1656.3652032784364,1474.0235246987713,2190.3739012505903,1497.7039798196367,1887.3356368618488,2277.7175715177004,1878.7056994733139,1583.569220661086,1628.6030401292028,1864.5899467482607,1367.3638576371425,1101.023708877255,1895.8507985905421,1593.192412626084,1675.3368803946453,2233.5732630327,2398.371546470382,1887.6385354380775,1901.5116161105454,444.25367423570907,1251.8508866471668,1783.5458447283115,1659.717043036728,1910.664815087475,1243.049598538867,1479.547804724237,1822.007795507977,1692.2937671046252,2069.91761733469,1891.821140274712,1398.1455971294283,1066.5953595343367,1005.4073796629617,1085.6419260401133
2004-05-01,1559.5706513079258,4665.628385217018,2395.564851543405,2029.5971181249465,924.3041454900582,3101.055018851701,2182.091410991473,1939.1347287290207,1723.7643829775031,2036.2641041228014,4320.1575484897185,2575.1319483344987,2162.465495251041,1801.7236423020013,2384.9766818636904,2772.048486145521,1288.0357537110926,1663.553892179439,1476.0782474360715,2181.7104147373548,1496.452633389737,1898.911419388841,2265.327383248791,1880.0071655152533,1589.101083659157,1626.269139835942,1867.5691316254656,1367.9448972929815,1107.5216852492044,1892.744330024845,1602.024312283673,1684.0855622228855,2230.1127210428285,2400.127363622328,1889.5325618312038,1901.7797699228765,466.15070164532005,1261.412272873966,1790.3676207713127,1669.420368861889,1913.4872969882604,1254.6221610680125,1485.319101083336,1825.173231939495,1693.126247357826,2062.0162824627973,1890.854784721798,1401.1481749544155,1069.3009417339154,1009.4325524223258,1090.707044937134
2004-06-01,1648.1189646665955,4670.650425592703,2427.3793619097837,2055.012743712687,964.688364846127,3106.2515994549162,2197.095711601373,1953.3454204727507,1729.6953696381488,2053.2929444326383,4342.205914855672,2586.8752182522007,2167.3719936684465,1812.1994809124367,2389.7492075889368,2769.7838583329376,1294.9519849097528,1670.981869701458,1475.8469054205193,2172.063809800606,1495.6732252516013,1910.7399710496777,2250.767275035405,1881.58965064289,1594.966232153104,1624.251030488918,1867.9213740820694,1369.4600001971482,1113.9496444949427,1886.9993619711627,1610.7882920852717,1693.3468300722743,2228.3667784982663,2401.2969045848536,1890.9919587729717,1903.0564558585143,488.5173154533226,1268.8166627741412,1795.6316970412236,1678.0562933149104,1915.2758167988868,1267.1214850598071,1490.8595263684065,1828.920989036074,1695.590750450713,2054.2259542595566,1889.702762119351,1404.6200526063628,1072.2220656738182,1013.5739752137039,1095.6176789696722
2004-07-01,1733.6983583393899,4677.478545970659,2458.8171715291955,2080.0000587482414,1003.6398596273408,3111.1164744388157,2210.8746188275036,1967.5505339721738,1734.9850309149751,2071.3368023604767,4359.437751921181,2598.4455275567657,2172.4813035610023,1822.6850951423344,2394.89274296878,2768.1017029786135,1301.487210843223,1678.5304585331467,1476.3341530185794,2163.120967307299,1495.8984964175288,1922.134735491496,2237.944771048363,1883.332611726543,1600.4223075586563,1622.6424566661342,1866.8276621213179,1371.9780659834366,1120.0347678140781,1881.4327081805195,1619.3337356467132,1703.3481760041097,2225.5180055010956,2402.347132069024,1892.3181862081663,1904.2486173779628,510.1665955649236,1275.2061325638606,1799.5143229412317,1685.38632898822,1918.3927577036627,1277.068560533738,1496.5410106241611,1833.4823335005597,1698.7740833725566,2045.1947350527853,1888.8693375948244,1405.5706343721681,1075.9177658273252,1017.8590814179013,1100.4131668457703
2004-08-01,1821.240600606701,4683.28801571486,2489.9615397458274,2102.2399619441385,1043.5101188041074,3116.0041208620864,2223.947208400712,1981.921355771845,1741.3059199488828,2090.366173589208,4375.314086320388,2608.529396223303,2177.3685573112452,1833.142499024823,2399.425959690253,2765.154502904868,1308.1997462783586,1686.1893001216058,1477.0688290729022,2154.2254160174516,1496.2940558728371,1933.4578613319948,2224.9855151090846,1885.0784061195636,1606.1043991664114,1618.904504510101,1865.3234211741303,1374.947276025231,1126.0988664677407,1875.2645147126236,1627.984894550983,1713.5512244843762,2222.3699407985714,2403.199129722041,1894.8234306401105,1905.8317133432536,532.6053402920609,1280.9597732670645,1802.3444078805267,1692.5691452931544,1920.3597644778695,1287.5206929336557,1502.2559519187876,1834.9457968216843,1702.0577324036467,2037.3366302683737,1886.568934400223,1406.397169462335,1079.6754437937007,1021.9991547228658,1105.1862530501219
2004-09-01,1909.6480552455998,4685.388381526902,2519.4637547347534,2124.557680741925,1083.6244642023082,3120.650728451914,2237.390987797911,1996.2803909011059,1747.7013113628766,2110.6883137930545,4390.960255010233,2619.061177292252,2182.3061034834227,1843.620709985966,2404.5624952021117,2762.6283095843664,1314.9658104089501,1693.752530074796,1476.5714466650325,2145.910703594964,1497.0232333471758,1945.53097407075,2211.0529271987834,1886.8294833287025,1612.0204687195114,1615.7271036457896,1862.615952423561,1378.3768776772558,1132.0335460269885,1868.976402467453,1636.6134003895718,1724.2031675487654,2219.506667141282,2403.774745523562,1896.682281855506,1906.6572800029983,555.3007394236945,1286.0868931140044,1804.6054886621812,1699.4681582333092,1922.232519851644,1297.984245029756,1506.8483003033914,1839.1402925921461,1704.267796296231,2028.072150144855,1884.3822633850475,1405.4940381355088,1083.6783603413105,1026.0776349462756,1110.1332468084024
2004-10-01,1994.6288849613227,4687.48197613995,2549.6599596380765,2147.292528424807,1122.1463922473922,3125.223942714805,2250.283147721479,2010.777583571438,1753.6511922461866,2130.2997859420484,4407.050651717585,2629.2065705994346,2187.3145792614055,1854.1326924078687,2411.3183441731635,2761.0933538658414,1321.37296159881,1701.2212655778071,1477.1322584411876,2140.3261676369943,1498.389640727348,1958.2885572583398,2198.3072232856607,1888.4652365226536,1617.5235489147683,1612.2871051030975,1859.9207379520021,1381.7132027212322,1137.6152138616594,1864.7836517993942,1645.1754916471102,1735.040147637774,2217.4536417555196,2404.5435880912273,1896.2232046613397,1909.0599425514247,577.2520875412757,1291.4407202190207,1808.1450077159884,1706.046712529412,1924.5362187385992,1308.342609343087,1511.4951823929196,1842.6491529333155,1706.74054829107,2019.280701240198,1884.5538654904321,1405.7638648707032,1088.2404651134054,1030.0832264851426,1115.178874154124
2004-11-01,2081.958687035625,4689.106256277863,2579.2613216014383,2171.1678139621176,1161.6412548524163,3129.8355604686753,2264.015895546321,2025.035973526782,1759.2384556983745,2151.8306331627177,4429.441110103895,2639.379351885228,2191.995493543662,1864.619620217077,2418.349740563803,2758.3377826068427,1328.1069166879922,1708.6603846138394,1478.3969440742344,2137.3580071347674,1498.3846718767832,1971.3403435016105,2183.994322075448,1890.0359037085286,1623.2925258369828,1607.5317054621714,1858.1651803990483,1384.3684280562038,1143.3809553643225,1859.9238855636395,1653.8665090993354,1745.4808148492561,2214.813745631773,2405.3416920731975,1895.0065851559127,1912.392186751467,599.5738382860593,1297.6130967337451,1812.6966451374742,1713.8607201888244,1926.6713185614838,1318.3945321467443,1517.051662988107,1845.150169879889,1707.5191300411882,2009.7646728411523,1881.8407196136116,1403.5574675274356,1092.3899625295635,1033.8717250654868,1120.3882390548451
2004-12-01,2165.9100856966766,4693.815513000162,2608.969672363683,2194.4348515999145,1199.5980243254266,3134.4435893431387,2278.5324513946252,2038.328324518917,1765.669724467062,2172.703843691877,4449.484214215554,2648.612016945883,2196.8388065347845,1875.1416584323413,2425.6918823751985,2755.858842359162,1334.6268972224943,1715.9375993055169,1479.1167091195464,2137.773254348206,1498.6363743304275,1983.7651419511067,2170.946662040126,1891.461661394862,1628.8501980135059,1603.772773883582,1857.4835396855058,1385.9162325334064,1149.1019273321178,1855.7197688590238,1662.5110429072079,1754.8297515115523,2210.276175076559,2406.484457995843,1892.864702578299,1916.6100509539183,621.655623481076,1305.250006898217,1818.56517528794,1722.3845188361204,1927.7248243821914,1329.2456714969126,1522.5920603018033,1853.0656354943783,1711.347295114693,2000.5762782455004,1878.7283887136784,1401.1432917704342,1096.3991072100284,1037.4970921342324,1125.8343061024407
2005-01-01,2256.820936073028,4700.381111252935,2647.062218025465,2215.795571949047,1240.73737419757,3140.075445013358,2293.510720627941,2051.1345611616366,1773.5049347632553,2193.9509160389384,4471.277286282824,2658.252540129436,2204.637718503414,1885.86441602092,2434.2280232425474,2753.624835353469,1337.465741258302,1721.976877739538,1477.2463266102413,2140.8813388716053,1498.9181718542816,1996.1244633240822,2157.505737450324,1895.4126984345708,1630.5751665413532,1602.3634602200348,1866.0654695614369,1381.9379530591227,1155.2793846827233,1850.578828153972,1670.851108987226,1758.8933919727408,2209.3065811995216,2419.9693616979685,1891.1778924998373,1913.6581941391178,645.0217604769322,1315.0388000873118,1828.1812328838964,1732.9207065273235,1931.0716717403736,1344.1185991138464,1527.9697781593245,1865.9029580212346,1715.5323810257019,1995.192228422589,1874.4543450586218,1403.3318190064526,1100.4938915848156,1043.282538979257,1133.1079900273016
2005-02-01,2337.498179055145,4706.563495890397,2676.258774823431,2237.679736982218,1281.05024573185,3147.8532212468535,2309.8659256177575,2065.6421505977096,1781.028347826303,2215.0856632148225,4481.929493744554,2668.464565286841,2207.0072902348866,1896.3416916285246,2440.3106196362405,2748.6748354297956,1344.4628313838873,1728.0690351571352,1478.3324156490314,2134.3620440503955,1498.769634895899,2008.8244342510225,2141.4670475699204,1895.79424653959,1634.6331090110546,1598.3486581054262,1869.7795786911338,1383.5460668974658,1161.972827682036,1843.7851998552742,1680.1541909332004,1770.005566669315,2205.2213507613565,2421.0872487463776,1891.3522410655237,1914.3554939989006,666.7103382214086,1324.8544269091171,1832.6832366938895,1743.1204648849543,1932.0650018641325,1358.4251690583194,1532.9305147426671,1869.682491373795,1718.610371392772,1982.896808804846,1869.5855795775597,1400.507375989712,1104.6773568745352,1046.3694238153892,1139.3201005502008
2005-03-01,2419.9040635658953,4718.33106424544,2711.358040780215,2256.6168195961995,1318.618165590776,3153.157984342286,2317.160696806594,2079.954485882224,1785.967207619222,2232.332782411604,4492.251652758768,2679.677830178049,2212.6886142655817,1906.8401186259819,2443.8253318150487,2747.767733611426,1350.5648143055885,1734.7119639836117,1477.4106423638905,2132.2153274008965,1502.7884860695704,2020.4161374852133,2129.991570634768,1897.2546565235502,1641.0986681467436,1594.9778661948053,1863.3430670793537,1391.895150891718,1167.0094449617939,1838.6847835058911,1688.5482612810413,1787.8618550195367,2202.2193770565736,2421.5844274124115,1894.973059616878,1915.2430739891222,687.0041296376631,1325.2758246623457,1827.6555231549678,1744.5766909538881,1934.5795848215507,1368.2048336291045,1537.676499482378,1874.4341844596217,1721.324254061002,1974.3205278088287,1870.0997162709316,1398.3342093840529,1106.8553277060673,1050.868242931651,1144.4090137497874
