,"A. 농업, 임업 및 어업 ,광업",C. 제조업,"D. 전기, 가스, 증기 및 공기조절 공급업",F. 건설업,G. 도매 및 소매업,H. 운수 및 창고업,I. 숙박 및 음식점업,J. 정보통신업,K. 금융 및 보험업,L. 부동산업,"M. 전문, 과학 및 기술 서비스업","N. 사업시설 관리, 사업 지원 및 임대 서비스업",P. 교육 서비스업,Q. 보건업 및 사회복지 서비스업,"R. 예술, 스포츠 및 여가관련 서비스업","S. 협회 및 단체, 수리 및 기타 개인 서비스업"
2016-09-01,0.05606432500941176,0.011627596399999999,0.016216980016438357,0.010462448553333333,0.014554312926666667,0.023204566726027397,0.060563721966666664,0.08726819156666667,0.012594509063333334,0.04201973816666667,0.017332420664333333,0.006306896863608248,0.12324289317525773,0.03488718987216494,0.10000497358762886,0.07023755241649485
2016-10-01,0.05687685145882353,0.011702974049999999,0.01645200871232877,0.011407956715,0.01614576887,0.023540864794520548,0.06519879135,0.093902690675,0.0131872739975,0.045118536249999994,0.01939976689825,0.006398301165979382,0.12502902206185568,0.03539280131958763,0.10145432103092783,0.07125548795876288
2016-11-01,0.05768937790823529,0.0117783517,0.01668703740821918,0.012353464876666668,0.017737224813333334,0.0238771628630137,0.06983386073333332,0.10053718978333334,0.013780038931666667,0.048217334333333334,0.021467113132166666,0.006489705468350516,0.1268151509484536,0.03589841276701031,0.1029036684742268,0.07227342350103093
2016-12-01,0.05850190435764706,0.01185372935,0.01692206610410959,0.013298973038333335,0.019328680756666668,0.02421346093150685,0.07446893011666667,0.10717168889166667,0.014372803865833334,0.05131613241666666,0.02353445936608333,0.00658110977072165,0.12860127983505154,0.036404024214432985,0.10435301591752577,0.07329135904329896
2017-01-01,0.059314430807058824,0.011929107,0.0171570948,0.0142444812,0.0209201367,0.024549759,0.0791039995,0.113806188,0.0149655688,0.0544149305,0.0256018056,0.006672514073092784,0.1303874087216495,0.03690963566185567,0.10580236336082474,0.07430929458556701
2017-02-01,0.06012695725647059,0.01973716975,0.016174058465000002,0.017822875141666666,0.027660778975,0.02542433461666667,0.08066054536666666,0.11861411533333334,0.0148585004,0.05857104270833333,0.02430593215833333,0.006763918375463918,0.13217353760824743,0.03741524710927835,0.10725171080412371,0.07532723012783504
2017-03-01,0.06093948370588235,0.027545232500000003,0.01519102213,0.021401269083333334,0.03440142125,0.026298910233333334,0.08221709123333333,0.12342204266666666,0.014751432,0.06272715491666667,0.023010058716666667,0.006855322677835052,0.13395966649484536,0.03792085855670103,0.10870105824742268,0.07634516567010309
2017-04-01,0.061752010155294114,0.03535329525,0.014207985795000001,0.024979663025,0.041142063525,0.02717348585,0.08377363709999999,0.12822997,0.0146443636,0.066883267125,0.021714185275,0.006946726980206186,0.1357457953814433,0.03842647000412371,0.11015040569072165,0.07736310121237114
2017-05-01,0.06256453660470589,0.043161358000000004,0.01322494946,0.02855805696666667,0.0478827058,0.028048061466666666,0.08533018296666667,0.13303789733333332,0.0145372952,0.07103937933333333,0.020418311833333334,0.00703813128257732,0.13753192426804123,0.03893208145154639,0.11159975313402062,0.07838103675463917
2017-06-01,0.06337706305411765,0.05096942075,0.012241913125,0.032136450908333336,0.054623348075,0.028922637083333334,0.08688672883333333,0.13784582466666667,0.0144302268,0.07519549154166666,0.019122438391666666,0.007129535584948454,0.1393180531546392,0.03943769289896907,0.11304910057731958,0.07939897229690722
