keco,ksco,2008.1/2,2008.1/2.1,2008.1/2.2,2008.2/2,2008.2/2.1,2008.2/2.2,2009.1/2,2009.1/2.1,2009.1/2.2,2009.2/2,2009.2/2.1,2009.2/2.2,2010.1/2,2010.1/2.1,2010.1/2.2,2010.2/2,2010.2/2.1,2010.2/2.2,2011.1/2,2011.1/2.1,2011.1/2.2,2011.2/2,2011.2/2.1,2011.2/2.2,2012.1/2,2012.1/2.1,2012.1/2.2,2012.2/2,2012.2/2.1,2012.2/2.2,2013.1/2,2013.1/2.1,2013.1/2.2,2013.2/2,2013.2/2.1,2013.2/2.2,2014.1/2,2014.1/2.1,2014.1/2.2,2014.2/2,2014.2/2.1,2014.2/2.2,2015.1/2,2015.1/2.1,2015.1/2.2,2015.2/2,2015.2/2.1,2015.2/2.2,2016.1/2,2016.1/2.1,2016.1/2.2,2016.2/2,2016.2/2.1,2016.2/2.2,2017.1/2,2017.1/2.1,2017.1/2.2,2017.2/2,2017.2/2.1,2017.2/2.2,2018.1/2,2018.1/2.1,2018.1/2.2,2018.2/2,2018.2/2.1,2018.2/2.2,2019.1/2,2019.1/2.1,2019.1/2.2,2019.2/2,2019.2/2.1,2019.2/2.2,2020.1/2,2020.1/2.1,2020.1/2.2,2020.2/2,2020.2/2.1,2020.2/2.2,2021.1/2,2021.1/2.1,2021.1/2.2,2021.2/2,2021.2/2.1,2021.2/2.2,2022.1/2,2022.1/2.1,2022.1/2.2,2022.2/2,2022.2/2.1,2022.2/2.2,2023.1/2,2023.1/2.1,2023.1/2.2,2023.2/2,2023.2/2.1,2023.2/2.2,2024.1/2,2024.1/2.1,2024.1/2.2
,식별값,현원,구인인원,채용인원,현원,구인인원,채용인원,현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명)
,총원,7768188,625301,511602,7959995,442562,349357,8048203,424897,348387,8128516,465248,383229,8931370,662167,541637,9196034,610216,494828,9503816,636002,511805,9715637,649951,513402,9805150,626685,532061,9884455,660219,554625,10050640,689241,590718,10256347,664337,569628,10432264,754985,661726,10678424,698742,612395,10967146,785318,705943,11326946,715119,624539,11481327,854766,758065,11657993,741122,645840,11684473,855762,761886,11803864,724964,639912,11984990,845775,755574,12192880,756130,672219,12247216,810487,733478,12429758,687724,611815,12452413,798171,738176,12515581,631476,564288,12684179,819699,734381,13067272,870365,758596,13161419,1014867,877099,13385094,941947,788685,13459274,1053771,916879,13589901,891555,779142,13647444,1046630,950730
304,243,119368,14492,11220,122120,10288,7975,122882,10663,8845,125895,7739,5929,143623,14916,11532,146742,11899,8290,160512,16394,12541,160083,12850,8847,166338,13770,11010,167184,12490,9020,173198,16669,13578,178334,12867,9927,185039,17815,15279,190853,12919,10504,195529,19857,17767,199549,13751,11102,207037,23428,20355,209037,17714,13491,217223,24127,20412,218967,17611,13777,232079,24356,20220,233854,19836,16019,247113,28878,25269,249410,22054,17801,228315,21805,19031,232320,18058,14775,241567,20503,18052,246201,19001,15779,259626,25317,22284,263460,21684,18431,273826,25368,22502,272378,19457,17024,278619,22919,21260
306,245,119368,14492,11220,122120,10288,7975,122882,10663,8845,125895,7739,5929,143623,14916,11532,146742,11899,8290,160512,16394,12541,160083,12850,8847,166338,13770,11010,167184,12490,9020,173198,16669,13578,178334,12867,9927,185039,17815,15279,190853,12919,10504,195529,19857,17767,199549,13751,11102,207037,23428,20355,209037,17714,13491,217223,24127,20412,218967,17611,13777,232079,24356,20220,233854,19836,16019,247113,28878,25269,249410,22054,17801,152167,13212,12159,157728,7599,6511,162067,12250,11467,164400,8737,7315,170357,13638,12428,172892,10341,8113,178388,14756,13787,171050,9359,8182,173949,14503,13550
306,245,19083,2227,2114,18350,1135,983,20062,1369,1306,21899,1377,1183,31402,3371,3089,31802,2054,1735,28676,3012,2899,31896,2789,2153,31709,3101,3008,33475,1993,1839,34894,3440,3086,35192,2354,1897,38024,3710,3498,41760,2609,2376,41486,4248,3916,42901,2115,1852,47018,5461,5010,47242,2665,2236,49441,5387,4984,51250,3171,2841,53781,5425,5137,55742,3032,2574,57323,4929,4487,57510,3342,2630,152167,13212,12159,157728,7599,6511,162067,12250,11467,164400,8737,7315,170357,13638,12428,172892,10341,8113,178388,14756,13787,171050,9359,8182,173949,14503,13550
306,245,31317,2470,2273,32073,1344,1132,33561,1638,1482,35070,1120,1079,38338,2140,2113,40199,1210,1064,44184,3441,3449,43977,1666,1418,44502,2475,2321,47312,1841,1596,45987,2669,2515,46470,1697,1525,48215,2891,2841,49334,1813,1742,52533,3527,3459,53005,2025,1937,53314,3295,3199,53922,2773,2699,55798,3624,3497,56751,2306,2212,58889,3884,3643,61787,3038,2852,65245,4984,4545,64742,3455,3173,152167,13212,12159,157728,7599,6511,162067,12250,11467,164400,8737,7315,170357,13638,12428,172892,10341,8113,178388,14756,13787,171050,9359,8182,173949,14503,13550
307,246,31317,2470,2273,32073,1344,1132,33561,1638,1482,35070,1120,1079,38338,2140,2113,40199,1210,1064,44184,3441,3449,43977,1666,1418,44502,2475,2321,47312,1841,1596,45987,2669,2515,46470,1697,1525,48215,2891,2841,49334,1813,1742,52533,3527,3459,53005,2025,1937,53314,3295,3199,53922,2773,2699,55798,3624,3497,56751,2306,2212,58889,3884,3643,61787,3038,2852,65245,4984,4545,64742,3455,3173,212625,17467,16321,221836,23998,22766,224377,16448,15155,232659,16516,15242,239473,21090,19233,242140,18900,16683,251006,20129,18451,246874,18643,17164,246296,20544,18936
307,421,31317,2470,2273,32073,1344,1132,33561,1638,1482,35070,1120,1079,38338,2140,2113,40199,1210,1064,44184,3441,3449,43977,1666,1418,44502,2475,2321,47312,1841,1596,45987,2669,2515,46470,1697,1525,48215,2891,2841,49334,1813,1742,52533,3527,3459,53005,2025,1937,53314,3295,3199,53922,2773,2699,55798,3624,3497,56751,2306,2212,58889,3884,3643,61787,3038,2852,65245,4984,4545,64742,3455,3173,212625,17467,16321,221836,23998,22766,224377,16448,15155,232659,16516,15242,239473,21090,19233,242140,18900,16683,251006,20129,18451,246874,18643,17164,246296,20544,18936
305,244,14760,1327,1256,15715,614,640,15258,1097,1064,14160,493,427,17714,1652,1616,18855,1164,1109,18595,1516,1399,19002,1112,796,19877,1938,1813,21484,1482,1430,21709,1649,1433,21590,1060,1016,22853,1504,1388,23066,1180,1080,24968,1860,1808,26144,1569,1381,27725,1763,1700,27629,1673,1561,28479,1796,1743,29635,1643,1556,32071,2411,2287,32211,1918,1834,34435,2129,2053,35237,1870,1754,19383,823,796,20067,793,744,21236,1335,1298,22159,1212,1123,23743,1892,1792,24368,1374,1254,24229,1712,1563,21056,1170,1078,21784,1405,1338
307,246,14760,1327,1256,15715,614,640,15258,1097,1064,14160,493,427,17714,1652,1616,18855,1164,1109,18595,1516,1399,19002,1112,796,19877,1938,1813,21484,1482,1430,21709,1649,1433,21590,1060,1016,22853,1504,1388,23066,1180,1080,24968,1860,1808,26144,1569,1381,27725,1763,1700,27629,1673,1561,28479,1796,1743,29635,1643,1556,32071,2411,2287,32211,1918,1834,34435,2129,2053,35237,1870,1754,212625,17467,16321,221836,23998,22766,224377,16448,15155,232659,16516,15242,239473,21090,19233,242140,18900,16683,251006,20129,18451,246874,18643,17164,246296,20544,18936
307,421,14760,1327,1256,15715,614,640,15258,1097,1064,14160,493,427,17714,1652,1616,18855,1164,1109,18595,1516,1399,19002,1112,796,19877,1938,1813,21484,1482,1430,21709,1649,1433,21590,1060,1016,22853,1504,1388,23066,1180,1080,24968,1860,1808,26144,1569,1381,27725,1763,1700,27629,1673,1561,28479,1796,1743,29635,1643,1556,32071,2411,2287,32211,1918,1834,34435,2129,2053,35237,1870,1754,212625,17467,16321,221836,23998,22766,224377,16448,15155,232659,16516,15242,239473,21090,19233,242140,18900,16683,251006,20129,18451,246874,18643,17164,246296,20544,18936
307,246,75627,8126,7461,77940,7357,6714,97731,8556,7453,105076,9832,8508,141434,15530,13969,144592,13985,11371,174497,15429,12792,173411,14873,12089,183233,16286,14150,183570,18696,16255,223413,21827,19510,243543,20561,18064,249186,23422,21868,249952,21343,19434,263157,22718,21198,259975,22564,19791,307540,32681,29916,313038,26568,23711,320784,30026,27819,329232,29576,26991,346414,32619,30148,357377,31824,29339,374062,34006,32132,387984,31247,29580,212625,17467,16321,221836,23998,22766,224377,16448,15155,232659,16516,15242,239473,21090,19233,242140,18900,16683,251006,20129,18451,246874,18643,17164,246296,20544,18936
