,전체,중졸이하,고졸,전문대졸,대졸,대학원졸
2025-04-30,23536.291885857678,14584.035089332596,18146.52820049717,21586.046238403895,28537.311382169417,46734.95004944604
2025-05-31,23392.664814780015,14434.294752274265,17979.877644760192,21459.832215481918,28414.752670087502,46728.1078708065
2025-06-30,23246.552714396697,14268.32744729489,17823.264392362005,21284.892553415313,28257.51489578315,46681.4567817784
2025-07-31,23063.686573215364,14082.656420985615,17642.50956725128,21106.709866422585,28071.32639403404,46608.01862721602
2025-08-31,22878.318632591952,13887.022303326461,17459.602054946183,20938.907637606044,27918.510254382974,46486.78027213933
2025-09-30,22677.66242578626,13661.543403891645,17255.94522474009,20733.513486347445,27715.74943342141,46367.54931552312
2025-10-31,22408.882875732743,13386.260170775933,16993.529305563694,20506.189941883044,27501.157825441493,46212.57957302941
2025-11-30,22155.923662553334,13088.654528205183,16715.588795350373,20258.184202756525,27292.272864270384,46069.672663828664
2025-12-31,21912.165156036277,12880.473589286281,16518.724265890036,20058.11688587206,27087.795982772015,45833.00393197722
2026-01-31,21899.90466175647,12860.859329207255,16513.557193333734,20094.503285959378,27097.025569024066,45766.17387778868
2026-02-28,21977.436051535093,12949.773484015286,16600.947099900386,20181.36572512765,27149.861527684494,45627.34844234824
2026-03-31,22027.244881256018,13049.255030594302,16680.372920871363,20271.846274922686,27223.30783426127,45556.05245858116
2026-04-30,22132.475962724504,13141.253930097313,16790.863506161524,20374.894511033035,27341.051817254145,45564.91622224275
2026-05-31,22155.066861038133,13149.979182824933,16791.519518690537,20418.804235008934,27378.92714388873,45488.1952973358
2026-06-30,22236.34713858523,13187.676850956434,16831.090630743387,20485.509290783484,27466.120911732713,45516.58970029461
2026-07-31,22357.589126659852,13282.01000583312,16948.122642629252,20575.69038944303,27591.54650219957,45573.95164329919
2026-08-31,22430.574284911196,13358.133108577496,16997.507452800193,20670.466673826068,27661.450892360343,45556.62417701196
2026-09-30,22560.33397772858,13445.520701685396,17108.699239130867,20766.95785620669,27781.86927301444,45631.68527421659
2026-10-31,22642.413123592345,13475.678518388639,17150.060751173824,20834.113632247027,27852.475811167365,45686.21132356567
2026-11-30,22716.84661180711,13485.781442599568,17167.316529668537,20880.449836557942,27936.37571873928,45717.65158129104
2026-12-31,22772.255142533966,13502.513715632138,17214.06949860076,20910.54158854972,27987.407509489367,45790.99326723481
2027-01-31,22850.795789613418,13550.778298831689,17257.508123948166,20977.388652079248,28048.37645647588,45974.25101347565
2027-02-28,22958.636914131766,13587.716420286115,17324.436984152697,21060.106625789816,28169.68539935168,46226.456867545676
2027-03-31,23022.694261577028,13598.081531111515,17357.147233580283,21104.076548705325,28216.605964502935,46470.48984350201
2027-04-30,23072.521385992222,13629.82676858964,17397.41487200004,21154.81344985792,28307.046150187078,46691.52640317243
2027-05-31,23134.096753247537,13630.085777184542,17422.990011284288,21201.8365395054,28371.24931553126,46895.13051600009
2027-06-30,23182.547201918554,13609.274516034726,17439.9201208513,21229.36134696975,28434.12409278219,47064.278308115114
2027-07-31,23193.601770934085,13590.207987628477,17439.014792396774,21252.445324966007,28494.904625539144,47251.72392732794
2027-08-31,23217.22327035853,13563.43476176658,17425.250995083803,21275.933716351436,28559.674389070045,47452.89930081683
2027-09-30,23234.443151344658,13517.673663482776,17428.51235903445,21286.008549141912,28596.75674934284,47548.389046665325
2027-10-31,23228.811434623738,13469.258918858575,17391.68683861133,21277.707269726074,28631.16064546024,47701.12724302593
2027-11-30,23224.09445261656,13397.4579227285,17346.03865087405,21266.53033327198,28683.497780836664,47790.6189106476
2027-12-31,23215.677368692308,13380.592172874016,17361.457282642623,21270.985054803055,28677.393973097936,47809.73388369117
2028-01-31,23474.09754811274,13561.89660029502,17555.14615050171,21521.863363842713,28971.629224759112,48150.67526165181
2028-02-29,23670.727397620125,13676.441959632706,17731.04321062623,21705.457781150046,29205.63292037534,48410.67095667347
2028-03-31,23887.507328313317,13835.419210569318,17892.646677096058,21930.777781419256,29441.211704730726,48709.771908630406
2028-04-30,24114.585647325348,14022.243857982265,18122.36792909022,22154.78729708005,29723.261028883313,49004.41260563343
2028-05-31,24321.875205363503,14150.399086125644,18287.358975697985,22375.365473183127,29962.416972604122,49309.967024443205
2028-06-30,24565.158049829413,14317.394480435702,18468.941997148784,22600.276429375503,30209.940405814417,49604.43748270754
2028-07-31,24798.886490210327,14470.716445548675,18673.35456625409,22827.27582570355,30467.918795517897,49941.406623431874
2028-08-31,25030.129901285578,14613.153693636661,18851.289784069693,23050.278938579086,30722.940843964843,50304.46059489334
2028-09-30,25269.65928430945,14750.525178531125,19018.87527452735,23264.52233396022,30975.941844812758,50633.55051932824
2028-10-31,25484.780496055064,14867.43657343818,19185.754889270895,23471.481657648656,31211.196665133153,50951.29119451654
2028-11-30,25736.13739892757,14997.655925291847,19360.3134345203,23700.24688953857,31480.584281960073,51311.69653493509
2028-12-31,25940.900764597955,15090.161718916168,19519.30220022129,23893.723194317114,31715.70490797309,51645.490723182695
2029-01-31,26035.830408631886,15125.39006584229,19557.12498434647,23961.8051078899,31800.54282019861,51808.44324386522
2029-02-28,26091.740518893443,15095.457888528472,19570.03409550228,24007.915952067924,31862.08514286211,51875.503120351015
2029-03-31,26162.880962138748,15071.881750353328,19583.91242231853,24068.761644387185,31930.288382964678,52040.685768510506
2029-04-30,26201.249509706515,15048.413664843543,19615.098728151403,24124.601563343567,31989.198328406634,52151.44025459566
2029-05-31,26256.40801294495,15040.896059552273,19636.246951533223,24164.181594355272,32078.661199993592,52251.801665683255
