,전체 산업,"농업, 임업 및 어업(01~03)",광업(05~08),제조업(10~34),"전기, 가스, 증기 및 공기조절 공급업(35)","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",건설업(41~42),도매 및 소매업(45~47),운수 및 창고업(49~52),숙박 및 음식점업(55~56),정보통신업(58~63),금융 및 보험업(64~66),부동산업(68),"전문, 과학 및 기술 서비스업(70~73)","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",교육 서비스업(85),"예술, 스포츠 및 여가관련 서비스업(90~91)"
2025-08-31,3060436619.3353004,3173646.748188282,411304.3851950622,1070346527.0050546,127503935.43503286,10338100.124346321,373066355.75285643,153158935.92951947,235195758.01065993,6137733.569895565,158052769.65820894,179059233.7167915,6231200.522281102,128498415.48373616,58078544.526475765,61338086.26937836,30604170.122230746
2025-09-30,3029053404.0096245,3246184.542029059,425625.7542722174,1112487931.3636527,126742435.13247643,10432083.55589277,383280436.1047529,151184501.75548464,235279093.8033901,6315549.055206848,158213975.191289,170235478.06108665,6396606.900338867,127155309.40471448,58120421.47676031,59205835.247320786,31197195.348697647
2025-10-31,2992250780.8838997,3308900.0613118676,456708.6104512872,1153667518.2640207,127661140.13075075,10526216.919225888,387043151.6004898,149052671.21875986,234420668.32573116,6448802.872597624,156622903.14090312,164650025.4269697,6522382.576495446,125488460.87105024,57758501.38815663,56748248.77573852,31610388.574064367
2025-11-30,2951458837.8208942,3354260.681296492,509790.55688753485,1188539122.1010935,130532020.22719027,10605114.357189674,382664890.01224536,146775700.32050258,232329050.42586288,6529727.614022017,153061772.8001944,162847621.0413461,6591854.347909938,123648837.46930642,56862201.69385003,54085762.992223814,31784944.901642952
2025-12-31,2908264946.6136603,3381711.0452053905,587596.0569452931,1216283707.1142972,135642351.7156354,10674461.378329476,371447851.67103153,144674129.16551736,229576309.6128075,6575508.803654183,148000961.07443154,165537594.69652805,6614335.214905325,121827876.19102578,55585871.2420003,51389178.06615868,31749663.95972307
2026-01-31,2865238784.564037,3387182.626042746,684850.160026173,1231168092.3247828,142895147.22105387,10726935.123794712,353931459.80444235,143181815.91278836,226270797.83539236,6581464.856427683,141778080.15989017,172522686.78847227,6593972.155178405,120363003.91159539,54031853.64275189,49077523.6208779,31487880.368724022
2026-02-28,2831764707.2122636,3376648.2021687482,789367.560950831,1229454850.6432376,151747933.91628927,10760536.503096435,331252883.61132586,142554932.87222174,222911219.29636624,6564295.164150513,135071439.62472308,183577954.0834965,6543668.797274375,119395475.73085243,52375516.874207795,47453771.6678841,31071559.265790768
2026-03-31,2803964507.6189713,3352112.862897141,899795.7548199347,1214311946.652342,162113819.48523504,10774312.378447948,306179558.94250506,142939372.13212904,219974242.909466,6534256.002202949,128593584.2704454,198381769.53574848,6476302.568911476,119202231.7650351,50757009.651391745,46574161.93805158,30561892.874713745
2026-04-30,2786213373.6120086,3315076.909350013,1016732.031322799,1182941025.5064285,173483818.7899602,10777362.181378407,279550762.22538006,144494946.9995278,217674079.95073193,6499451.43926375,122787741.4570334,216878502.02291965,6399612.74840193,119944821.48071535,49339381.76462605,46614350.21320029,29988800.631896738
2026-05-31,2780103218.3876133,3274524.4941381905,1132439.3585904897,1138853587.7426167,185526623.09184334,10775968.767710218,255213606.8171139,147326387.7638115,216596920.50214505,6473296.679805166,118502886.12878911,238025078.99601865,6325347.340582713,121684460.39317635,48359799.87813164,47738127.88276794,29433922.736746997
