,소비자물가지수,기대인플레이션율,생산자물가지수,국내공급물가지수,수입물가지수,전산업생산지수,경기종합지수,제조업 평균가동률,생산지수-총지수,생산자제품 출하지수-총지수,생산자제품 재고지수-총지수,물가수준전망,경제심리지수,경제활동인구,실업률,경제활동참가율,예금은행대출금,M1상품별구성내역,주택담보대출,무담보콜금리,국고채금리(1년),국고채금리(10년),"회사채(3년,AA-)","회사채(3년,BBB-)",주택담보대출 연리,환율-원/미국달러,수입금액지수,수입물량지수,순상품교역조건지수,소득교역조건지수,주택매매가격지수,아파트 매매 가격지수,KOSPI 시가총액,미국 소비자물가지수,중국 생산자물가지수,미국 생산자물가지수,한국은행 기준금리,추계인구,남성 인구,여성 인구,고령 인구 비율(65세 이상),합계출산율,Wage,전체 산업,"농업, 임업 및 어업(01~03)",광업(05~08),제조업(10~34),"전기, 가스, 증기 및 공기조절 공급업(35)","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",건설업(41~42),도매 및 소매업(45~47),운수 및 창고업(49~52),숙박 및 음식점업(55~56),정보통신업(58~63),금융 및 보험업(64~66),부동산업(68),"전문, 과학 및 기술 서비스업(70~73)","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",교육 서비스업(85),"예술, 스포츠 및 여가관련 서비스업(90~91)"
2011-12-01,90.879,4.1,102.97,110.53,141.22,96.6,100.7,78.0,95.811,101.728,78.23,152.0,100.0,25181.0,3.0,60.5,1063192.5,432602.2,388415.9,3.26,3.4,3.81,4.24,10.04,5.2,1147.45,117.19,81.82,89.7,73.65,70.521,81.1,1040000000000.0,103.49,105.5,104.97,3.25,49936638.0,25069867.0,24866771.0,11.0,1.244,4447.787954,1858667383.259398,4407033.22733732,526713.6944291086,736051161.4953303,58546939.35941637,7036242.723173672,232453783.7950972,81593956.39179371,131566211.2454161,2844041.8406117875,43926538.12646925,70234974.06108093,4217464.972577173,37205530.38412216,25579979.92146934,25377256.31471916,9405339.232123464
2012-01-01,91.242,4.2,103.5,111.07,142.61,84.7,100.3,79.9,88.681,94.725,77.837,150.0,101.0,24884.0,3.5,59.7,1066592.2,439352.9,387634.7,3.26,3.39,3.8,4.24,10.04,5.19,1145.85,112.49,79.0,91.03,64.4,70.631,81.3,1120000000000.0,103.95,105.4,105.26,3.25,50199853.0,25187380.0,25012473.0,11.5,1.297,4470.020722,1857697106.157,4426464.0,526314.6,736726765.69373,58238674.9416,7053907.92111,232086015.44474,81071471.34168,130957547.97715,2907194.746176,44269503.73522,69144548.38878,4265617.312981,36896070.7704,25612051.245974,25862269.105335,9508210.816
2012-02-01,91.588,4.1,104.21,111.52,143.3,84.6,100.7,82.3,92.246,97.766,76.598,150.0,104.6,25129.0,4.2,60.3,1069053.8,437193.9,388301.6,3.25,3.41,3.81,4.25,10.02,5.18,1123.35,115.16,80.11,91.3,71.31,70.749,81.3,1160000000000.0,104.41,105.6,105.07,3.25,50199853.0,25187380.0,25012473.0,11.5,1.297,4492.29871,1855580712.79888,4428820.241381368,526288.8651990584,737781595.7380708,57851451.11581697,7069024.581788849,231104668.5796317,80613311.57807246,130081902.15389562,2963705.6085093725,44495492.10845665,68052812.64678204,4316558.988880013,36528369.51278087,25595357.17406936,26336824.05829017,9594295.612565853
2012-03-01,91.614,4.1,104.73,112.48,145.68,91.5,100.5,79.9,97.028,102.281,76.794,149.0,105.9,25519.0,3.7,61.1,1070385.9,440075.4,389347.6,3.25,3.47,3.95,4.36,10.09,5.16,1125.9,115.66,78.86,90.11,72.26,70.856,81.3,1160000000000.0,105.2,105.9,104.68,3.25,50199853.0,25187380.0,25012473.0,11.5,1.297,4513.880885,1852646853.4919984,4416088.560321678,526468.724172909,739076583.7950538,57436276.1552031,7081403.680978419,229654341.838654,80240472.25154291,129056292.82498547,3010448.3034442584,44608969.78685381,67044109.62972144,4365162.403144967,36144152.214516014,25537488.060890965,26762390.74114311,9663282.010291187
2012-04-01,91.605,3.9,104.78,112.65,144.11,86.7,100.6,80.4,92.854,97.858,76.011,147.0,109.3,25959.0,3.5,62.2,1076282.8,437445.3,390543.3,3.25,3.45,3.9,4.25,9.96,5.14,1135.55,112.96,75.85,88.28,68.13,70.932,81.3,1140000000000.0,105.52,106.0,104.68,3.25,50199853.0,25187380.0,25012473.0,11.5,1.297,4536.185164,1848614426.9711292,4387587.118287712,526660.349891644,740717732.492526,56959253.31430066,7093334.900510381,227595499.6194773,79894743.91191708,127789497.00872092,3054082.5888565383,44640023.325325735,65993622.2963949,4416222.750459258,35706814.59889641,25434135.09241079,27187174.54083667,9729975.818398004
2012-05-01,91.769,3.8,104.19,111.85,141.39,89.4,100.7,80.4,96.245,101.267,77.12,147.0,105.4,26243.0,3.1,62.8,1080860.2,438795.3,391537.5,3.26,3.37,3.75,4.01,9.63,5.12,1154.27,114.7,78.68,88.36,71.87,70.967,81.1,1060000000000.0,105.39,105.7,104.97,3.25,50199853.0,25187380.0,25012473.0,11.5,1.297,4557.752559,1843950541.9286065,4346398.866645379,526632.4221349434,742487989.1986502,56487678.10346835,7104167.159481307,225161659.5121165,79605539.5549141,126444746.89333646,3090286.1677239146,44595326.18360146,65018283.7408141,4462898.097195006,35273341.092287846,25296866.62419045,27558398.569256827,9792729.570406169
2012-06-01,91.639,3.8,102.93,109.8,136.37,90.3,100.6,79.0,94.942,100.622,74.901,145.0,100.9,26241.0,3.2,62.7,1083714.2,441611.0,392841.2,3.26,3.29,3.63,3.87,9.48,5.1,1165.51,107.67,76.51,89.67,74.7,70.941,80.9,1070000000000.0,105.24,104.9,105.46,3.25,50199853.0,25187380.0,25012473.0,11.5,1.297,4580.0,1838471281.6945992,4290882.0833692085,526158.3573414324,744430733.0568116,56014131.50073172,7115221.036682605,222252759.4873952,79346606.71376921,124984031.47827564,3121691.0170415225,44486734.85205922,64067784.29841242,4506338.271955567,34831680.98577185,25120306.813339084,27890025.50331085,9861164.573561627
2012-07-01,91.432,3.7,102.48,108.7,135.21,88.2,100.8,77.7,92.159,96.936,75.293,143.0,96.4,26181.0,3.1,62.5,1085112.3,441760.6,393148.1,3.09,3.02,3.3,3.6,9.18,5.05,1143.36,107.69,79.72,93.49,77.05,70.861,80.6,1090000000000.0,105.07,104.09,105.56,3.0,50199853.0,25187380.0,25012473.0,11.5,1.297,4602.203576,1832651722.865234,4225675.425118446,525053.631545883,746349180.5715765,55592156.7505805,7126356.207977799,219116004.0209222,79127976.80555007,123551020.51313584,3146480.0798557885,44335456.87050622,63217530.04571527,4541862.744174784,34426455.31807706,24919460.503938276,28150335.840515696,9936070.78064674
2012-08-01,91.855,3.6,103.11,109.47,137.46,84.7,100.1,74.0,87.203,92.053,77.837,147.0,94.7,25891.0,3.0,61.8,1089617.2,439573.2,393717.8,3.0,2.84,3.09,3.4,8.79,4.97,1131.69,105.72,77.46,93.42,72.33,70.79,80.2,1100000000000.0,105.65,103.49,105.46,3.0,50199853.0,25187380.0,25012473.0,11.5,1.297,4622.990357,1826230903.8515596,4147535.9427603954,523019.8746509972,748296590.2735732,55217641.52841905,7138913.446313252,215604470.05958065,78928102.32674411,122101818.94071032,3166524.365424974,44146243.33999877,62425550.27168161,4569877.950821583,34047496.56954592,24684713.33035181,28345898.011697598,10027879.662579246
2012-09-01,92.512,3.5,103.47,109.84,138.46,89.0,100.0,76.4,91.029,97.858,74.706,146.0,93.6,26014.0,2.9,62.0,1096901.7,440034.3,393380.9,2.99,2.85,3.05,3.31,8.69,4.89,1124.78,109.42,78.16,91.49,76.67,70.683,79.9,1150000000000.0,106.12,103.49,105.26,3.0,50199853.0,25187380.0,25012473.0,11.5,1.297,4645.303044,1819525224.424764,4059583.072538003,519850.878833833,750132578.8266467,54930073.35644393,7153147.045585422,211881499.8345832,78747611.40263966,120737196.98771629,3181128.2279674127,43938677.14909694,61736560.82484971,4587063.204990089,33726088.01624561,24426151.44970514,28455868.9095538,10139857.373257812
